Biochem_No	Biochem	FoldChange	pvalue
321	methionine sulfoxide	0.88	0.1794000
328	S-adenosylhomocysteine (SAH)	0.53	0.2267000
332	cystathionine	1.42	0.0170000
334	cysteine	1.50	0.1435000
336	S-methylcysteine	1.14	0.2676000
339	cysteine s-sulfate	2.53	0.0058000
340	cystine	3.54	0.0004000
345	hypotaurine	1.16	0.4980000
346	taurine	1.22	0.1740000
347	N-acetyltaurine	1.36	0.0443000
353	arginine	0.84	0.3421000
354	argininosuccinate	1.24	0.9597000
355	urea	0.81	0.0066000
357	ornithine	0.81	0.1706000
360	2-oxoarginine*	0.94	0.4013000
361	citrulline	0.98	0.6583000
362	homoarginine	1.33	0.0088000
363	homocitrulline	0.55	0.0050000
364	proline	0.94	0.3540000
367	dimethylarginine (SDMA + ADMA)	1.05	0.3247000
369	N-acetylcitrulline	0.63	0.0130000
371	N-delta-acetylornithine	0.80	0.0110000
376	trans-4-hydroxyproline	1.37	0.0003000
378	pro-hydroxy-pro	1.39	0.1083000
381	N-methylproline	0.95	0.9483000
383	N-monomethylarginine	1.22	0.1620000
387	guanidinoacetate	1.25	0.6427000
388	creatine	1.35	0.1663000
389	creatinine	1.16	0.0988000
395	putrescine	1.34	0.2508000
397	spermidine	1.54	0.2281000
405	5-methylthioadenosine (MTA)	2.11	0.0162000
406	N-acetylputrescine	1.27	0.1197000
410	4-acetamidobutanoate	1.11	0.4270000
412	(N(1) + N(8))-acetylspermidine	1.25	0.2517000
414	4-guanidinobutanoate	1.13	0.5058000
418	"glutathione, oxidized (GSSG)"	2.19	0.0136000
420	Cysteine-glutathione disulfide	11.75	0.0000099
426	5-oxoproline	0.98	0.9108000
429	2-hydroxybutyrate/2-hydroxyisobutyrate	0.75	0.0119000
431	ophthalmate	0.80	0.6616000
441	gamma-glutamylglutamine	0.91	0.5459000
442	gamma-glutamylglycine	1.10	0.4051000
443	gamma-glutamylhistidine	1.25	0.1282000
444	gamma-glutamylisoleucine*	0.91	0.4499000
445	gamma-glutamylleucine	0.96	0.7006000
446	gamma-glutamyl-alpha-lysine	1.14	0.2563000
447	gamma-glutamyl-epsilon-lysine	1.21	0.0975000
448	gamma-glutamylmethionine	1.22	0.9559000
449	gamma-glutamylphenylalanine	0.83	0.1389000
450	gamma-glutamylthreonine	1.03	0.7802000
451	gamma-glutamyltryptophan	1.02	0.7906000
452	gamma-glutamyltyrosine	1.12	0.5031000
453	gamma-glutamylvaline	1.05	0.8737000
878	phenylacetylglycine	1.06	0.9363000
903	"1,5-anhydroglucitol (1,5-AG)"	1.29	0.0740000
906	glucose	0.76	0.0351000
920	3-phosphoglycerate	4.84	0.0616000
921	phosphoenolpyruvate (PEP)	6.49	0.0152000
922	pyruvate	0.77	0.0320000
923	lactate	1.00	0.9626000
926	Glycerate	0.63	0.0037000
940	ribose	0.57	0.0856000
941	ribitol	1.01	0.8864000
942	ribonate	1.06	0.6806000
963	arabitol/xylitol	1.10	0.3219000
965	arabonate/xylonate	0.83	0.0605000
966	sedoheptulose	1.09	0.6284000
967	Ribulonate/xylulonate	0.52	0.0006000
998	sucrose	0.55	0.7157000
1016	fructose	0.64	0.0964000
1021	mannitol/sorbitol	0.59	0.1044000
1022	mannose	0.83	0.1947000
1032	galactitol (dulcitol)	0.98	0.9166000
1041	galactonate	1.24	0.4720000
1069	glucuronate	0.91	0.9022000
1080	N-acetylneuraminate	1.21	0.4444000
1092	erythronate*	0.98	0.7499000
1094	N-acetylglucosamine/N-acetylgalactosamine	1.21	0.2451000
1099	citrate	1.00	0.9360000
1101	aconitate [cis or trans]	1.26	0.0198000
1103	isocitrate	1.41	0.0391000
1105	alpha-ketoglutarate	1.33	0.2362000
1108	succinate	0.74	0.8384000
1109	fumarate	1.18	0.4173000
1110	malate	1.66	0.3834000
1120	2-methylcitrate/homocitrate	0.91	0.5030000
1124	phosphate	1.15	0.9286000
1127	malonate	1.26	0.0228000
1144	caprylate (8:0)	0.76	0.1245000
1145	pelargonate (9:0)	0.80	0.0947000
1146	caprate (10:0)	1.08	0.7164000
1147	undecanoate (11:0)	0.96	0.7617000
1148	10-undecenoate (11:1n1)	0.99	0.8778000
1149	laurate (12:0)	1.60	0.1833000
1150	5-dodecenoate (12:1n7)	1.23	0.5326000
1152	myristate (14:0)	1.61	0.1321000
1153	myristoleate (14:1n5)	1.28	0.4997000
1156	pentadecanoate (15:0)	0.99	0.7784000
1157	palmitate (16:0)	0.99	0.7728000
1158	palmitoleate (16:1n7)	1.35	0.2306000
1160	margarate (17:0)	1.01	0.9056000
1161	10-heptadecenoate (17:1n7)	1.14	0.7060000
1163	stearate (18:0)	0.98	0.6714000
1165	oleate/vaccenate (18:1)	1.01	0.9773000
1172	nonadecanoate (19:0)	1.08	0.5930000
1173	10-nonadecenoate (19:1n9)	0.90	0.4319000
1176	arachidate (20:0)	0.93	0.3554000
1179	eicosenoate (20:1)	0.94	0.5650000
1183	behenate (22:0)*	0.86	0.3914000
1184	erucate (22:1n9)	0.80	0.3414000
1187	nervonate (24:1n9)*	0.33	0.1658000
1190	heneicosapentaenoate (21:5n3)	1.39	0.3905000
1191	hexadecadienoate (16:2n6)	1.24	0.4970000
1195	stearidonate (18:4n3)	1.76	0.0977000
1196	eicosapentaenoate (EPA; 20:5n3)	1.22	0.4440000
1197	docosapentaenoate (n3 DPA; 22:5n3)	1.09	0.9440000
1198	docosahexaenoate (DHA; 22:6n3)	0.90	0.4556000
1199	docosatrienoate (22:3n3)	0.65	0.0546000
1202	nisinate (24:6n3)	1.03	0.9230000
1203	linoleate (18:2n6)	1.12	0.7142000
1205	linolenate [alpha or gamma; (18:3n3 or 6)]	1.59	0.1659000
1207	dihomo-linolenate (20:3n3 or n6)	1.19	0.6308000
1208	arachidonate (20:4n6)	0.97	0.6259000
1209	adrenate (22:4n6)	1.07	0.7277000
1210	docosapentaenoate (n6 DPA; 22:5n6)	0.84	0.2918000
1211	docosadienoate (22:2n6)	0.81	0.2727000
1212	dihomo-linoleate (20:2n6)	1.10	0.9329000
1214	mead acid (20:3n9)	1.15	0.6335000
1215	docosatrienoate (22:3n6)*	0.82	0.1401000
1269	15-methylpalmitate (i17:0)	1.09	0.7068000
1272	17-methylstearate (i19:0)	0.97	0.6988000
1282	glutarate (C5-DC)	0.31	0.2424000
1286	2-hydroxyglutarate	0.97	0.9253000
1291	3-hydroxyadipate*	0.71	0.5381000
1298	suberate (C8-DC)	0.55	0.0590000
1303	sebacate (C10-DC)	0.59	0.0166000
1306	dodecanedioate (C12-DC)	0.82	0.4726000
1307	tetradecanedioate (C14-DC)	0.59	0.1954000
1308	hexadecanedioate (C16-DC)	0.56	0.0843000
1312	octadecenedioate (C18:1-DC)*	0.47	0.0045000
1314	eicosanodioate (C20-DC)	0.77	0.1484000
1315	docosadioate (C22-DC)	0.92	0.4907000
1317	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-Cmpfp)**	0.88	0.0869000
1354	2-aminooctanoate	0.88	0.5868000
1355	N-acetyl-2-aminooctanoate*	0.99	0.9884000
1366	butyrylcarnitine (C4)	1.11	0.7786000
1367	butyrylglycine	0.89	0.3488000
1369	propionylcarnitine (C3)	0.63	0.1437000
1370	Pro-Gly	0.51	0.0008000
1372	methylmalonate (MMA)	0.81	0.2939000
1377	isocaproylglycine	0.43	0.0402000
1380	hexanoylglycine	0.88	0.1631000
1383	"3,4-methylene heptanoylglycine"	1.32	0.2539000
1384	N-octanoylglycine	0.75	0.2781000
1385	N-palmitoylglycine	1.06	0.5302000
1390	2-butenoylglycine	1.04	0.7991000
1393	acetylcarnitine (C2)	0.93	0.2520000
1395	3-hydroxybutyrylcarnitine (1)	1.08	0.6880000
1396	3-hydroxybutyrylcarnitine (2)	1.45	0.3514000
1398	hexanoylcarnitine (C6)	1.15	0.8782000
1399	octanoylcarnitine (C8)	1.21	0.6391000
1401	decanoylcarnitine (C10)	0.84	0.6957000
1403	5-dodecenoylcarnitine (C12:1)	0.76	0.1129000
1404	cis-4-decenoylcarnitine (C10:1)	0.81	0.1541000
1405	laurylcarnitine (C12)	0.91	0.4827000
1406	myristoylcarnitine (C14)	0.89	0.2749000
1408	palmitoylcarnitine (C16)	0.87	0.2155000
1409	palmitoleoylcarnitine (C16:1)*	0.85	0.1190000
1410	stearoylcarnitine (C18)	0.81	0.1269000
1411	linoleoylcarnitine (C18:2)*	0.73	0.0131000
1412	linolenoylcarnitine (C18:3)*	0.81	0.2775000
1414	oleoylcarnitine (C18:1)	0.75	0.0180000
1416	myristoleoylcarnitine (C14:1)*	0.71	0.0037000
1417	suberoylcarnitine (C8-DC)	0.78	0.2228000
1419	adipoylcarnitine (C6-DC)	0.67	0.2031000
1425	octadecenedioylcarnitine (C18:1-DC)*	0.80	0.2009000
1427	arachidonoylcarnitine (C20:4)	0.61	0.0186000
1428	adrenoylcarnitine (C22:4)*	0.71	0.1009000
1429	behenoylcarnitine (C22)*	0.86	0.4068000
1430	dihomo-linolenoylcarnitine (20:3n3 or 6)*	0.78	0.1191000
1431	dihomo-linoleoylcarnitine (C20:2)*	0.62	0.0044000
1432	eicosenoylcarnitine (C20:1)*	0.82	0.1532000
1437	docosahexaenoylcarnitine (C22:6)*	0.45	0.0456000
1439	lignoceroylcarnitine (C24)*	1.25	0.0645000
1440	margaroylcarnitine (C17)*	0.80	0.1333000
1444	pentadecanoylcarnitine (C15)*	0.63	0.0007000
1449	deoxycarnitine	1.16	0.4573000
1450	carnitine	1.22	0.1543000
1455	3-hydroxybutyrate (BHBA)	0.96	0.7232000
1458	palmitoylcholine	0.89	0.8315000
1462	linoleoylcholine*	0.81	0.5789000
1473	2-hydroxydecanoate	0.79	0.0846000
1478	2-hydroxypalmitate	1.01	0.9051000
1480	2-hydroxystearate	1.03	0.7184000
1486	3-hydroxyhexanoate	1.00	0.9359000
1487	3-hydroxyoctanoate	0.92	0.5472000
1488	3-hydroxydecanoate	1.00	0.8478000
1489	3-hydroxyoleate*	0.73	0.2862000
1490	3-hydroxysebacate	0.54	0.0083000
1491	3-hydroxylaurate	0.97	0.6383000
1493	3-hydroxymyristate	0.97	0.7283000
1494	3-hydroxypalmitate	1.02	0.9023000
1496	5-hydroxyhexanoate	1.08	0.6663000
1503	16-hydroxypalmitate	1.03	0.9087000
1507	13-HODE + 9-HODE	1.06	0.8758000
1510	14-HDoHE/17-HDoHE	0.90	0.5677000
1522	3-hydroxystearate	0.86	0.3871000
1531	"12,13-DiHOME"	0.87	0.6859000
1532	"9,10-DiHOME"	0.94	0.8104000
1611	12-HETE	1.10	0.8535000
1617	12-HHTrE	1.01	0.7242000
1624	oleoyl ethanolamide	0.88	0.3263000
1627	palmitoyl ethanolamide	1.24	0.1391000
1636	N-oleoyltaurine	0.51	0.0279000
1637	N-stearoyltaurine	0.72	0.0606000
1638	N-palmitoyltaurine	0.99	0.8433000
1640	N-linoleoyltaurine*	0.75	0.1056000
1657	myo-inositol	2.11	0.0738000
1686	choline	1.24	0.1988000
1687	choline phosphate	15.06	0.0002000
1690	glycerophosphorylcholine (GPC)	1.60	0.0300000
1692	Phosphoethanolamine	8.07	0.0000038
1694	glycerophosphoethanolamine	1.62	0.0206000
1696	glycerophosphoinositol*	1.37	0.0917000
1697	trimethylamine N-oxide	0.72	0.1013000
1715	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	1.28	0.0021000
1719	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	1.17	0.1643000
1729	"1,2-dipalmitoyl-GPC (16:0/16:0)"	1.12	0.0693000
1730	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	1.07	0.2125000
1731	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	1.08	0.2754000
1733	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	0.93	0.0830000
1736	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	1.03	0.6065000
1739	1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*	0.96	0.6241000
1742	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	1.09	0.4430000
1746	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	1.03	0.5710000
1752	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	1.03	0.5798000
1757	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*	1.04	0.5732000
1758	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	1.21	0.1171000
1767	"1,2-distearoyl-GPC (18:0/18:0)"	1.27	0.0399000
1768	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	0.86	0.0261000
1771	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	1.06	0.1114000
1779	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	0.99	0.8696000
1785	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	1.04	0.3357000
1792	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	1.01	0.7104000
1802	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	0.88	0.0115000
1803	"1,2-dilinoleoyl-GPC (18:2/18:2)"	0.88	0.0757000
1804	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	1.10	0.2449000
1807	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	0.84	0.0245000
1849	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	1.15	0.6051000
1850	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	0.85	0.1977000
1853	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	0.95	0.5309000
1855	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	0.87	0.1243000
1862	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	1.27	0.4588000
1865	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	1.07	0.7395000
1870	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	1.01	0.9788000
1874	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	1.31	0.0174000
1876	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	0.91	0.6310000
1882	1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*	0.94	0.6034000
1885	1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*	1.09	0.8552000
1948	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	0.83	0.5258000
1950	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	1.07	0.4809000
1952	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	1.10	0.1487000
1956	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	1.02	0.8122000
1967	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	1.00	0.9085000
1972	1-oleoyl-2-arachidonoyl-GPI (18:1/20:4) *	0.95	0.5961000
1990	1-palmitoyl-GPA (16:0)	0.62	0.0058000
1994	1-linoleoyl-GPA (18:2)*	0.52	0.0099000
1996	1-arachidonoyl-GPA (20:4)	0.55	0.1528000
2003	1-palmitoyl-GPC (16:0)	0.99	0.7766000
2004	2-palmitoyl-GPC (16:0)*	0.92	0.3574000
2005	1-palmitoleoyl-GPC (16:1)*	0.93	0.3619000
2006	2-palmitoleoyl-GPC (16:1)*	0.81	0.2685000
2011	1-stearoyl-GPC (18:0)	1.00	0.8637000
2013	1-oleoyl-GPC	0.84	0.0019000
2016	1-linoleoyl-GPC (18:2)	0.93	0.2041000
2018	1-linolenoyl-GPC (18:3)*	0.86	0.1394000
2033	1-arachidonoyl-GPC (20:4n6)*	0.86	0.0845000
2044	1-lignoceroyl-GPC (24:0)	0.95	0.5856000
2051	1-palmitoyl-GPE (16:0)	0.93	0.1941000
2058	1-stearoyl-GPE (18:0)	1.06	0.3799000
2059	2-stearoyl-GPE (18:0)*	1.01	0.9348000
2060	1-oleoyl-GPE (18:1)	0.95	0.8240000
2062	1-linoleoyl-GPE (18:2)*	0.98	0.8352000
2073	1-arachidonoyl-GPE (20:4n6)*	1.13	0.2243000
2084	1-oleoyl-GPS (18:1)	2.89	0.0261000
2095	1-linoleoyl-GPG (18:2)*	0.78	0.0809000
2096	1-palmitoyl-GPI (16:0)	1.04	0.7865000
2099	1-stearoyl-GPI (18:0)	1.04	0.6871000
2103	1-linoleoyl-GPI (18:2)*	0.91	0.5617000
2107	1-arachidonoyl-GPI (20:4)*	0.98	0.8118000
2188	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	1.16	0.4728000
2190	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	0.80	0.0016000
2191	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	0.78	0.0977000
2192	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	1.23	0.1138000
2194	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	0.80	0.0014000
2197	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	1.38	0.2083000
2200	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	0.86	0.0142000
2201	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	1.00	0.8961000
2204	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	1.08	0.4796000
2218	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	0.80	0.0524000
2219	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	1.22	0.0933000
2221	1-(1-enyl-oleoyl)-GPE (P-18:1)*	1.21	0.4048000
2223	1-(1-enyl-stearoyl)-GPE (P-18:0)*	1.08	0.4626000
2226	glycerol	1.22	0.5682000
2227	glycerol 3-phosphate	1.79	0.1127000
2232	glycerophosphoglycerol	1.37	0.4054000
2236	1-palmitoylglycerol (16:0)	0.48	0.2771000
2239	1-stearoylglycerol	3.56	0.0001000
2240	1-oleoylglycerol (18:1)	0.92	0.5998000
2241	1-linoleoylglycerol (18:2)	1.16	0.7428000
2245	1-dihomo-linolenylglycerol (20:3)	1.17	0.6341000
2246	1-arachidonylglycerol (20:4)	0.95	0.7462000
2249	1-docosahexaenoylglycerol (22:6)	1.29	0.4466000
2251	2-palmitoylglycerol (16:0)	0.99	0.9291000
2255	2-linoleoylglycerol (18:2)	1.02	0.9390000
2263	"diacylglycerol (14:0/18:1, 16:0/16:1) [2]*"	2.50	0.0118000
2275	palmitoyl-palmitoyl-glycerol (16:0/16:0) [1]*	1.36	0.3657000
2276	palmitoyl-palmitoyl-glycerol (16:0/16:0) [2]*	1.32	0.2147000
2279	palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*	1.30	0.1602000
2280	palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*	1.40	0.1085000
2281	palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*	1.72	0.0307000
2282	palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*	1.59	0.0765000
2288	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*	1.28	0.3150000
2289	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*	1.24	0.3556000
2305	linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*	1.65	0.0150000
2311	stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*	1.09	0.6931000
2312	stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*	1.12	0.7345000
2314	oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*	1.31	0.1842000
2315	linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*	1.34	0.1044000
2316	linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*	1.39	0.0920000
2319	linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*	1.56	0.0393000
2320	linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [2]*	1.54	0.0493000
2341	sphinganine	1.67	0.1006000
2342	sphinganine-1-phosphate	0.89	0.3339000
2345	N-palmitoyl-sphinganine (d18:0/16:0)	1.21	0.2876000
2355	myristoyl dihydrosphingomyelin (d18:0/14:0)*	1.62	0.0038000
2356	palmitoyl dihydrosphingomyelin (d18:0/16:0)*	1.22	0.0304000
2358	palmitoyl sphingomyelin (d18:1/16:0)	1.13	0.0413000
2359	stearoyl sphingomyelin (d18:1/18:0)	1.13	0.0409000
2360	behenoyl sphingomyelin (d18:1/22:0)*	1.18	0.0543000
2361	tricosanoyl sphingomyelin (d18:1/23:0)*	1.28	0.0102000
2362	lignoceroyl sphingomyelin (d18:1/24:0)	1.29	0.0038000
2364	"sphingomyelin (d18:1/14:0, d16:1/16:0)*"	1.23	0.0096000
2365	"sphingomyelin (d18:2/14:0, d18:1/14:1)*"	1.26	0.0072000
2366	"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*"	1.11	0.1580000
2367	"sphingomyelin (d18:2/16:0, d18:1/16:1)*"	0.95	0.5122000
2368	"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)"	1.03	0.6445000
2369	"sphingomyelin (d18:1/18:1, d18:2/18:0)"	0.97	0.6651000
2370	"sphingomyelin (d18:1/20:0, d16:1/22:0)*"	1.23	0.0316000
2371	"sphingomyelin (d18:1/20:1, d18:2/20:0)*"	1.11	0.0752000
2372	"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*"	1.21	0.0901000
2373	"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*"	1.04	0.5014000
2374	"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*"	1.07	0.3631000
2375	"sphingomyelin (d18:1/24:1, d18:2/24:0)*"	1.04	0.5145000
2376	"sphingomyelin (d18:2/24:1, d18:1/24:2)*"	0.90	0.1251000
2379	sphingosine	1.30	0.2647000
2380	sphingosine 1-phosphate	0.72	0.1118000
2383	sphingomyelin (d18:2/23:1)*	0.92	0.4493000
2384	"sphingomyelin (d18:2/21:0, d16:2/23:0)*"	1.07	0.5766000
2385	"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*"	1.04	0.6300000
2386	sphingomyelin (d18:2/24:2)*	0.94	0.2321000
2390	"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*"	1.05	0.4578000
2392	"sphingomyelin (d18:0/18:0, d19:0/17:0)*"	1.28	0.1770000
2394	sphingomyelin (d18:2/18:1)*	0.86	0.1022000
2395	"sphingomyelin (d18:1/19:0, d19:1/18:0)*"	1.12	0.1913000
2400	sphingadienine	1.21	0.3919000
2442	N-palmitoyl-sphingosine (d18:1/16:0)	1.38	0.0957000
2444	N-stearoyl-sphingosine (d18:1/18:0)*	1.45	0.0531000
2448	"ceramide (d18:1/14:0, d16:1/16:0)*"	2.16	0.0037000
2451	"ceramide (d18:2/24:1, d18:1/24:2)*"	1.08	0.5152000
2452	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	1.09	0.2861000
2453	glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	1.07	0.3939000
2456	glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	1.15	0.2829000
2466	"glycosyl ceramide (d16:1/24:1, d18:1/22:1)*"	0.84	0.4710000
