"item"	"group1"	"vars"	"n"	"mean"	"sd"	"median"	"trimmed"	"mad"	"min"	"max"	"range"	"skew"	"kurtosis"	"se"
"prohydroxypro3"	"54"	"Ctrl"	18	3	0.829256666666667	0.290161746674735	0.94176	0.829256666666667	0.155020656	0.49969	1.04632	0.54663	-0.329438739055925	-2.33333333333333	0.16752496255119
"Nmethylproline1"	"55"	"ADI1x"	19	3	0.7458	0.219104427157463	0.6193	0.7458	0	0.6193	0.9988	0.3795	0.38490017945975	-2.33333333333333	0.1265
"Nmethylproline2"	"56"	"ADI2x"	19	3	0.97762	0.146174071914276	0.94383	0.97762	0.137184978	0.8513	1.13773	0.28643	0.218810284590198	-2.33333333333333	0.084393639768251
"Nmethylproline3"	"57"	"Ctrl"	19	3	0.6193	0	0.6193	0.6193	0	0.6193	0.6193	0	NA	NA	0
"Nmonomethylarginine1"	"58"	"ADI1x"	20	3	1.04806666666667	0.193993378323419	1.05115	1.04806666666667	0.28073031	0.85255	1.2405	0.38795	-0.01588999815025	-2.33333333333333	0.112002129196031
"Nmonomethylarginine2"	"59"	"ADI2x"	20	3	0.92789	0.178470779961315	0.97765	0.92789	0.14611023	0.72982	1.0762	0.34638	-0.257139114079105	-2.33333333333333	0.103040152853148
"Nmonomethylarginine3"	"60"	"Ctrl"	20	3	0.98132	0.03713704484743	0.98177	0.98132	0.054055596	0.94396	1.01823	0.07427	-0.01211550162449	-2.33333333333333	0.021441082839571
"guanidinoacetate1"	"61"	"ADI1x"	21	3	1.71890666666667	0.644023617682871	1.76656	1.71890666666667	0.846890772	1.05238	2.33778	1.2854	-0.073588034224634	-2.33333333333333	0.371827209033682
"guanidinoacetate2"	"62"	"ADI2x"	21	3	0.68453	0.092317703610954	0.63853	0.68453	0.021171528	0.62425	0.79081	0.16656	0.374565386856368	-2.33333333333333	0.053299651030753
"guanidinoacetate3"	"63"	"Ctrl"	21	3	0.870066666666667	0.070146612415236	0.85153	0.870066666666667	0.060015648	0.81105	0.94762	0.13657	0.245802716500561	-2.33333333333333	0.040499165560677
"creatine1"	"64"	"ADI1x"	22	3	1.20220666666667	0.115975325967782	1.25819	1.20220666666667	0.031697988	1.06886	1.27957	0.21071	-0.370236545933871	-2.33333333333333	0.066958385666854
"creatine2"	"65"	"ADI2x"	22	3	1.00353333333333	0.165164233517228	0.95078	1.00353333333333	0.118000134	0.87119	1.18863	0.31744	0.286815458442539	-2.33333333333333	0.09535761468167
"creatine3"	"66"	"Ctrl"	22	3	0.985603333333333	0.13679487356379	1.00266	0.985603333333333	0.163693866	0.84108	1.11307	0.27199	-0.122749376213731	-2.33333333333333	0.078978557075815
"creatinine1"	"67"	"ADI1x"	23	3	1.02837	0.246319789907348	1.05794	1.02837	0.297454038	0.7686	1.25857	0.48997	-0.118317155951372	-2.33333333333333	0.142212797009739
"creatinine2"	"68"	"ADI2x"	23	3	0.998826666666667	0.042013536310734	1.01093	0.998826666666667	0.033402978	0.95209	1.03346	0.08137	-0.264173535022332	-2.33333333333333	0.02425652649861
"creatinine3"	"69"	"Ctrl"	23	3	0.952276666666667	0.077721286873889	0.92356	0.952276666666667	0.045308256	0.893	1.04027	0.14727	0.319041825888245	-2.33333333333333	0.044872405898404
"putrescine1"	"70"	"ADI1x"	24	3	1.70992	0.542558539606557	2.01379	1.70992	0.027665316	1.08352	2.03245	0.94893	-0.384388053029386	-2.33333333333333	0.313246318892976
"putrescine2"	"71"	"ADI2x"	24	3	0.872556666666667	0.032479486346513	0.88393	0.872556666666667	0.020593314	0.83592	0.89782	0.0619	-0.307232331150028	-2.33333333333333	0.0187520401853
"putrescine3"	"72"	"Ctrl"	24	3	0.846193333333333	0.162500857331072	0.81559	0.846193333333333	0.169639092	0.70117	1.02182	0.32065	0.181647784221171	-2.33333333333333	0.093819913723639
"spermidine1"	"73"	"ADI1x"	25	3	1.76702333333333	0.25277782860317	1.87088	1.76702333333333	0.11927517	1.47886	1.95133	0.47247	-0.341505110235275	-2.33333333333333	0.145941347389209
"spermidine2"	"74"	"ADI2x"	25	3	0.913706666666667	0.249740688381636	1.03244	0.913706666666667	0.073373874	0.62675	1.08193	0.45518	-0.367965668145997	-2.33333333333333	0.14418785366474
"spermidine3"	"75"	"Ctrl"	25	3	1.19850666666667	0.628768164137891	0.96756	1.19850666666667	0.370190394	0.71787	1.91009	1.19222	0.317747931370211	-2.33333333333333	0.363019468822878
"5methylthioadenosineMTA1"	"76"	"ADI1x"	26	3	1.50538333333333	0.614721504775401	1.4819	1.50538333333333	0.858662616	0.90274	2.13151	1.22877	0.038145831072014	-2.33333333333333	0.35490962625873
"5methylthioadenosineMTA2"	"77"	"ADI2x"	26	3	1.14698333333333	0.476043788987246	1.34878	1.14698333333333	0.207727086	0.60328	1.48889	0.88561	-0.347730546450475	-2.33333333333333	0.274844009717836
"5methylthioadenosineMTA3"	"78"	"Ctrl"	26	3	1.03538666666667	0.273391734391026	0.96963	1.03538666666667	0.250203576	0.80087	1.33566	0.53479	0.226607420473437	-2.33333333333333	0.157842791444878
"Nacetylputrescine1"	"79"	"ADI1x"	27	3	1.15505	0.458667320723855	1.19935	1.15505	0.579118386	0.67584	1.58996	0.91412	-0.09568317913525	-2.33333333333333	0.264811701088402
"Nacetylputrescine2"	"80"	"ADI2x"	27	3	0.713203333333333	0.159995306597829	0.62083	0.713203333333333	0	0.62083	0.89795	0.27712	0.384900179459751	-2.33333333333333	0.092373333333333
"Nacetylputrescine3"	"81"	"Ctrl"	27	3	0.644363333333333	0.040760929004788	0.62083	0.644363333333333	0	0.62083	0.69143	0.0706	0.384900179459752	-2.33333333333333	0.023533333333333
"4acetamidobutanoate1"	"82"	"ADI1x"	28	3	1.09727333333333	0.294281880062863	0.9706	1.09727333333333	0.123144756	0.88754	1.43368	0.54614	0.350692667986689	-2.33333333333333	0.169903722671923
"4acetamidobutanoate2"	"83"	"ADI2x"	28	3	1.00817666666667	0.268560935791737	1.05406	1.00817666666667	0.291746028	0.71963	1.25084	0.53121	-0.165861908013436	-2.33333333333333	0.155053728573177
"4acetamidobutanoate3"	"84"	"Ctrl"	28	3	0.996923333333333	0.093747190002332	1.05001	0.996923333333333	0.003068982	0.88868	1.05208	0.1634	-0.38468907240279	-2.33333333333333	0.054124965383617
"N1+N8acetylspermidine1"	"85"	"ADI1x"	29	3	1.04583333333333	0.637744841636005	1.18103	1.04583333333333	0.628785486	0.35133	1.60514	1.25381	-0.202464763670921	-2.33333333333333	0.368202155992843
"N1+N8acetylspermidine2"	"86"	"ADI2x"	29	3	1.04822666666667	0.661353866347913	0.82444	1.04822666666667	0.439798464	0.5278	1.79244	1.26464	0.299632905281432	-2.33333333333333	0.381832832765567
"N1+N8acetylspermidine3"	"87"	"Ctrl"	29	3	0.478926666666667	0.288432237680418	0.62278	0.478926666666667	0.065768136	0.14686	0.66714	0.52028	-0.374683182912115	-2.33333333333333	0.166526430067756
"4guanidinobutanoate1"	"88"	"ADI1x"	30	3	1.12279	0.596448542373942	0.82051	1.12279	0.122329326	0.738	1.80986	1.07186	0.376630278911871	-2.33333333333333	0.344359726497355
"4guanidinobutanoate2"	"89"	"ADI2x"	30	3	0.911346666666667	0.115097698210404	0.92152	0.911346666666667	0.1475187	0.7915	1.02102	0.22952	-0.087698135847372	-2.33333333333333	0.066451687044883
"4guanidinobutanoate3"	"90"	"Ctrl"	30	3	1.11205333333333	0.705327443981399	0.75619	1.11205333333333	0.149208864	0.65555	1.92442	1.26887	0.37610312617118	-2.33333333333333	0.407220989649491
"glutathioneoxidizedGSSG1"	"91"	"ADI1x"	31	3	1.75833666666667	0.523160335110885	1.85574	1.75833666666667	0.548873346	1.19332	2.22595	1.03263	-0.179728742743981	-2.33333333333333	0.302046760305604
"glutathioneoxidizedGSSG2"	"92"	"ADI2x"	31	3	1.17988333333333	0.645963466794627	1.36325	1.17988333333333	0.520526034	0.46206	1.71434	1.25228	-0.260991636288429	-2.33333333333333	0.372947181440542
"glutathioneoxidizedGSSG3"	"93"	"Ctrl"	31	3	0.411136666666667	0.284448411198469	0.26595	0.411136666666667	0.055404762	0.22858	0.73888	0.5103	0.377439858834866	-2.33333333333333	0.164226366775997
"ribulonatexylulonate*1"	"94"	"ADI1x"	32	3	0.854953333333333	0.220419390556578	0.8325	0.854953333333333	0.275585688	0.64662	1.08574	0.43912	0.10080937196761	-2.33333333333333	0.127259194472454
"ribulonatexylulonate*2"	"95"	"ADI2x"	32	3	0.858773333333333	0.282345704825367	0.99573	0.858773333333333	0.075301254	0.53407	1.04652	0.51245	-0.370935674357387	-2.33333333333333	0.16301236868546
"ribulonatexylulonate*3"	"96"	"Ctrl"	32	3	1.87243	0.503972619196718	1.82843	1.87243	0.647199378	1.3919	2.39696	1.00506	0.086640847027031	-2.33333333333333	0.290968727357426
"sucrose1"	"97"	"ADI1x"	33	3	0.84991	0.341504769512814	0.88701	0.84991	0.421562484	0.49137	1.17135	0.67998	-0.107354714844302	-2.33333333333333	0.197167870607764
"sucrose2"	"98"	"ADI2x"	33	3	1.55514	0.963713747800663	1.06483	1.55514	0.192233916	0.93517	2.66542	1.73025	0.377076770663951	-2.33333333333333	0.556400391714456
"sucrose3"	"99"	"Ctrl"	33	3	2.89712666666667	4.16689277731421	0.49137	2.89712666666667	0	0.49137	7.70864	7.21727	0.38490017945975	-2.33333333333333	2.40575666666667
"fructose1"	"100"	"ADI1x"	34	3	0.729726666666667	0.087885571246555	0.7086	0.729726666666667	0.080460702	0.65433	0.82625	0.17192	0.226497127004907	-2.33333333333333	0.050740758217083
"fructose2"	"101"	"ADI2x"	34	3	0.878296666666667	0.301793363302332	0.73475	0.878296666666667	0.088481568	0.67507	1.22507	0.55	0.368036120387023	-2.33333333333333	0.174240479542244
"fructose3"	"102"	"Ctrl"	34	3	1.11895333333333	0.348094183998143	1.10912	1.11895333333333	0.494061624	0.77588	1.47186	0.69598	0.028226516537522	-2.33333333333333	0.200972270834671
"mannitolsorbitol1"	"103"	"ADI1x"	35	3	0.862746666666667	0.026833233747227	0.84947	0.862746666666667	0.006419658	0.84514	0.89363	0.04849	0.373655450097612	-2.33333333333333	0.01549217472719
"mannitolsorbitol2"	"104"	"ADI2x"	35	3	0.745536666666667	0.076397262603665	0.71265	0.745536666666667	0.031964856	0.69109	0.83287	0.14178	0.350701639919703	-2.33333333333333	0.044107980129576
"mannitolsorbitol3"	"105"	"Ctrl"	35	3	2.54751666666667	2.26227141997448	1.43626	2.54751666666667	0.564099648	1.05578	5.15051	4.09473	0.372688054724494	-2.33333333333333	1.30612301330226
"mannose1"	"106"	"ADI1x"	36	3	0.889306666666667	0.156451801630193	0.90167	0.889306666666667	0.203916804	0.72704	1.03921	0.31217	-0.078529797515135	-2.33333333333333	0.090327489786394
"mannose2"	"107"	"ADI2x"	36	3	0.950013333333333	0.11201800852244	0.95156	0.950013333333333	0.162626394	0.83723	1.06125	0.22402	-0.013804671480951	-2.33333333333333	0.064673627374516
"mannose3"	"108"	"Ctrl"	36	3	0.97451	0.179453789037735	0.96079	0.97451	0.234962448	0.80231	1.16043	0.35812	0.076007329060577	-2.33333333333333	0.103607693408035
"galactitoldulcitol1"	"109"	"ADI1x"	37	3	0.89498	0.580778595421698	0.62463	0.89498	0.186763122	0.49866	1.56165	1.06299	0.364629220766166	-2.33333333333333	0.33531267840629
"galactitoldulcitol2"	"110"	"ADI2x"	37	3	1.07583666666667	0.263418396535499	0.95846	1.07583666666667	0.09926007	0.89151	1.37754	0.48603	0.35711800308041	-2.33333333333333	0.15208468214927
"galactitoldulcitol3"	"111"	"Ctrl"	37	3	1.57042	0.094376981833496	1.57789	1.57042	0.12298167	1.47253	1.66084	0.18831	-0.078654790641544	-2.33333333333333	0.054488575866873
"galactonate1"	"112"	"ADI1x"	38	3	1.23028333333333	0.340771137617806	1.22283	1.23028333333333	0.488561178	0.8933	1.57472	0.68142	0.02186149871601	-2.33333333333333	0.196744308035695
"galactonate2"	"113"	"ADI2x"	38	3	0.87258	0.1251516396217	0.9257	0.87258	0.054426246	0.72963	0.96241	0.23278	-0.347979768304202	-2.33333333333333	0.072256332825112
"galactonate3"	"114"	"Ctrl"	38	3	1.11569666666667	0.218199427664999	1.23055	1.11569666666667	0.032513418	0.86406	1.25248	0.38842	-0.380530865930582	-2.33333333333333	0.12597749829941
"glucuronate1"	"115"	"ADI1x"	39	3	0.811716666666667	0.469064009953155	0.775	0.811716666666667	0.612180366	0.36209	1.29806	0.93597	0.077796836725794	-2.33333333333333	0.270814232413619
"glucuronate2"	"116"	"ADI2x"	39	3	1.26044333333333	0.283346511771953	1.15741	1.26044333333333	0.169579788	1.04303	1.58089	0.53786	0.315548464964381	-2.33333333333333	0.163590184845478
"glucuronate3"	"117"	"Ctrl"	39	3	1.14376	0.410974656274569	1.31527	1.14376	0.186703818	0.67481	1.4412	0.76639	-0.344643614878261	-2.33333333333333	0.237276328430236
"Nacetylneuraminate1"	"118"	"ADI1x"	40	3	0.985396666666667	0.044844391325263	1.00472	0.985396666666667	0.018710412	0.93413	1.01734	0.08321	-0.35089158948487	-2.33333333333333	0.025890921403286
"Nacetylneuraminate2"	"119"	"ADI2x"	40	3	1.04936333333333	0.092221682013143	1.06376	1.04936333333333	0.103455828	0.95079	1.13354	0.18275	-0.152304943286174	-2.33333333333333	0.053244212935408
"Nacetylneuraminate3"	"120"	"Ctrl"	40	3	1.00824666666667	0.186458454443164	0.99528	1.00824666666667	0.247104942	0.82861	1.20085	0.37224	0.069205545031876	-2.33333333333333	0.107651838865442
"erythronate*1"	"121"	"ADI1x"	41	3	1.07201666666667	0.176653661533899	1.12669	1.07201666666667	0.130735668	0.87449	1.21487	0.34038	-0.279848984757856	-2.33333333333333	0.10199103903993
"erythronate*2"	"122"	"ADI2x"	41	3	0.927406666666667	0.10771750569584	0.92317	0.927406666666667	0.15018738	0.82187	1.03718	0.21531	0.039270429924939	-2.33333333333333	0.062190730909928
"erythronate*3"	"123"	"Ctrl"	41	3	1.13486333333333	0.060151389288472	1.15482	1.13486333333333	0.041038368	1.06727	1.1825	0.11523	-0.295254308968475	-2.33333333333333	0.034728420797829
"NacetylglucosamineNacetylgalactosamine1"	"124"	"ADI1x"	42	3	1.2245	0.0707613708177	1.2629	1.2245	0.007205436	1.14284	1.26776	0.12492	-0.382858595764394	-2.33333333333333	0.040854096489826
"NacetylglucosamineNacetylgalactosamine2"	"125"	"ADI2x"	42	3	0.918946666666667	0.028446555737617	0.9352	0.918946666666667	0.000504084	0.8861	0.93554	0.04944	-0.384838321922284	-2.33333333333333	0.016423626612631
"NacetylglucosamineNacetylgalactosamine3"	"126"	"Ctrl"	42	3	0.820906666666667	0.599600118606837	1.00224	0.820906666666667	0.454668942	0.15157	1.30891	1.15734	-0.274764056683005	-2.33333333333333	0.346179289883789
"citrate1"	"127"	"ADI1x"	43	3	0.923146666666667	0.107246977268981	0.9836	0.923146666666667	0.004329192	0.79932	0.98652	0.1872	-0.384579210762664	-2.33333333333333	0.06191907119602
"citrate2"	"128"	"ADI2x"	43	3	0.917976666666667	0.042084796938245	0.93487	0.917976666666667	0.020934312	0.87007	0.94899	0.07892	-0.33673173206276	-2.33333333333333	0.024297668841087
"citrate3"	"129"	"Ctrl"	43	3	1.04678	0.010639393779723	1.04965	1.04678	0.008954904	1.035	1.05569	0.02069	-0.250123353046089	-2.33333333333333	0.006142656862737
"aconitatecisortrans1"	"130"	"ADI1x"	44	3	0.871653333333333	0.205318707460702	0.89261	0.871653333333333	0.256608408	0.65666	1.06569	0.40903	-0.101005596879763	-2.33333333333333	0.118540811022102
"aconitatecisortrans2"	"131"	"ADI2x"	44	3	1.02358	0.009736390501618	1.02339	1.02358	0.01401057	1.01394	1.03341	0.01947	0.019506987274922	-2.33333333333333	0.005621307677045
"aconitatecisortrans3"	"132"	"Ctrl"	44	3	1.00452	0.068034958660971	0.98606	1.00452	0.056991144	0.94762	1.07988	0.13226	0.251355548922465	-2.33333333333333	0.039280001697217
"isocitrate1"	"133"	"ADI1x"	45	3	1.22348333333333	0.244951830026504	1.31388	1.22348333333333	0.143085726	0.94618	1.41039	0.46421	-0.318779388698579	-2.33333333333333	0.141423005004294
"isocitrate2"	"134"	"ADI2x"	45	3	0.884566666666667	0.068943850583887	0.91308	0.884566666666667	0.03202416	0.80594	0.93468	0.12874	-0.342834516538682	-2.33333333333333	0.039804750693576
"isocitrate3"	"135"	"Ctrl"	45	3	0.84483	0.078883230790834	0.83944	0.84483	0.104760516	0.76878	0.92627	0.15749	0.068009828543691	-2.33333333333333	0.045543254531635
"alphaketoglutarate1"	"136"	"ADI1x"	46	3	1.45979333333333	0.583574240121455	1.37614	1.45979333333333	0.672477708	0.92256	2.08068	1.15812	0.140400998418721	-2.33333333333333	0.336926744626253
"alphaketoglutarate2"	"137"	"ADI2x"	46	3	0.729483333333333	0.018203673621919	0.73543	0.729483333333333	0.012661404	0.70905	0.74397	0.03492	-0.291812681493295	-2.33333333333333	0.010509895865855
"alphaketoglutarate3"	"138"	"Ctrl"	46	3	1.16556	0.411682765366732	1.18205	1.16556	0.57332142	0.74588	1.56875	0.82287	-0.039990848849775	-2.33333333333333	0.237685155405212
"succinate1"	"139"	"ADI1x"	47	3	1.35931666666667	1.07594446698393	1.16571	1.35931666666667	1.145145414	0.39332	2.51892	2.1256	0.174114853196426	-2.33333333333333	0.62119682764626
"succinate2"	"140"	"ADI2x"	47	3	0.647466666666667	0.370913330891912	0.85288	0.647466666666667	0.02572311	0.21929	0.87023	0.65094	-0.383952948899916	-2.33333333333333	0.214146911436466
